"id","year","as_cafe","ac_cafe","p_cafe","prec_mar","prec_aug","tmean_mar","tmean_aug","tmax_mar","tmax_aug","tmin_mar","tmin_aug","alt_mn","alt_sd","alt_dm"
15022,2007,18,18,7.2,183.8,237.553846,16.58,16.072308,20.28,19.22308,12.88,12.921538,2085.50746268657,467.592816037769,1
15022,2008,7,7,2.8,50.292308,179.676923,16.13846,16.204615,19.73846,20.20462,12.538462,12.204615,2085.50746268657,467.592816037769,1
15022,2009,7,7,2.8,111.4,109.738462,16.65231,16.873846,20.35231,20.07385,12.952308,13.673846,2085.50746268657,467.592816037769,1
15022,2010,11,7,2.8,169.138462,225.384615,18.30923,16.450769,22.20923,19.68462,14.409231,13.216923,2085.50746268657,467.592816037769,1
15022,2011,11,6,2.4,122.276923,109.830769,16.43538,16.392308,19.73538,20.19231,13.135385,12.592308,2085.50746268657,467.592816037769,1
15022,2012,32,2,1.2,122.815385,138.476923,16.70308,16.646154,20.00308,19.94615,13.403077,13.346154,2085.50746268657,467.592816037769,1
15022,2013,65,25,15.8743,95.353846,325.876923,17.76,16.48,21.76,19.48,13.76,13.48,2085.50746268657,467.592816037769,1
15090,2007,507,507,380,135.101449,235.57971,19.34058,18.885507,23.04058,21.98551,15.64058,15.785507,1664.69117647059,464.204061450621,1
15090,2008,508,476,357,44.985507,184.115942,18.96667,18.972464,22.56667,22.87246,15.366667,15.072464,1664.69117647059,464.204061450621,1
15090,2009,516,465,348.75,72.73913,103.536232,19.41884,19.647826,23.12899,22.89275,15.708696,16.402899,1664.69117647059,464.204061450621,1
15090,2010,526,425,369.75,134.391304,242.478261,21.05362,19.25942,25.02754,22.55507,17.07971,15.963768,1664.69117647059,464.204061450621,1
15090,2011,531,430,374.1,64.434783,121.202899,19.1942,19.230435,22.4942,23.03043,15.894203,15.430435,1664.69117647059,464.204061450621,1
15090,2012,521,410,356.7,83.405797,140.26087,19.51014,19.378261,22.81014,22.67826,16.210145,16.078261,1664.69117647059,464.204061450621,1
15090,2013,461,377,211.0051,81.391304,307.202899,20.57681,19.213043,24.57681,22.21304,16.576812,16.213043,1664.69117647059,464.204061450621,1
15106,2007,480,420,292,151.958904,126.780822,18.39726,18.628767,22.0589,22.12877,14.735616,15.128767,1682,382.947704581767,1
15106,2008,480,440,308,115.780822,191.520548,17.79726,18.19863,21.29452,22.09863,14.3,14.29863,1682,382.947704581767,1
15106,2009,440,420,168,120.671233,50.082192,18.01918,19.516438,21.23151,23.21644,14.806849,15.816438,1682,382.947704581767,1
15106,2010,170,140,56,81.671233,100.890411,20.30959,19.10274,24.57123,22.60274,16.047945,15.60274,1682,382.947704581767,1
15106,2011,410,390,58.5,142.561644,84.150685,18.43014,19.106849,21.53014,23.30685,15.330137,14.906849,1682,382.947704581767,1
15106,2012,190,120,14.4,106.684932,52.534247,18.9274,19.352055,22.2274,23.0589,15.627397,15.645205,1682,382.947704581767,1
15106,2013,494,477,267.1644,135.657534,197.849315,19.65342,19.224658,23.66027,22.72466,15.646575,15.724658,1682,382.947704581767,1
15109,2007,470,350,230,139.084615,118.361538,16.55692,16.665385,20.17846,20.15846,12.935385,13.173077,2084.28682170543,515.025351223705,1
15109,2008,420,397,397.375,109.184615,174.661538,15.92692,16.347692,19.40308,20.34769,12.450769,12.347692,2084.28682170543,515.025351223705,1
15109,2009,427,400,160,109.369231,50.369231,16.18154,17.554615,19.43462,21.15462,12.928462,13.954615,2084.28682170543,515.025351223705,1
15109,2010,307,307,214.9,70.507692,92.661538,18.47692,17.122308,22.67692,20.52538,14.276923,13.72,2084.28682170543,515.025351223705,1
15109,2011,290,212,84.8,122.6,77.507692,16.54462,17.119231,19.64462,21.21923,13.444615,13.019231,2084.28682170543,515.025351223705,1
15109,2012,424,382,382,104.330769,53.230769,16.98923,17.401538,20.28923,21.09538,13.689231,13.707692,2084.28682170543,515.025351223705,1
15109,2013,443,355,227.3866,120.6,183.469231,17.79538,17.28,21.80385,20.69385,13.787692,13.866154,2084.28682170543,515.025351223705,1
15185,2007,585,485,485,184.299465,140.754011,17.32781,17.468449,21.17594,20.76845,13.479679,14.168449,1877.8449197861,340.361923930523,1
15185,2008,610,510,510,156.903743,191.748663,16.7246,17.034759,20.3246,20.78503,13.124599,13.284492,1877.8449197861,340.361923930523,1
15185,2009,535,465,465,164.657754,56.486631,16.89893,18.251337,20.32139,21.95936,13.476471,14.543316,1877.8449197861,340.361923930523,1
15185,2010,535,465,465,109.518717,131.208556,19.07647,17.936898,23.47647,21.3369,14.676471,14.536898,1877.8449197861,340.361923930523,1
15185,2011,548,476,428.4,147.534759,107.834225,17.16203,17.803743,20.31818,22.00374,14.005882,13.603743,1877.8449197861,340.361923930523,1
15185,2012,415,80,60,110.262032,62.074866,17.61176,17.915508,21.01176,21.61551,14.211765,14.215508,1877.8449197861,340.361923930523,1
15185,2013,469,386,216.029,188.684492,289.55615,18.40963,17.900535,22.55936,21.3861,14.259893,14.414973,1877.8449197861,340.361923930523,1
15212,2007,385,290,185,125.676136,101.028409,19.9392,20.091477,23.5392,23.59148,16.339205,16.591477,1492.61016949153,427.202129756771,0
15212,2008,341,270,144,99.914773,156.4375,19.30795,19.804545,22.72216,23.80455,15.89375,15.804545,1492.61016949153,427.202129756771,0
